participant, trial, beat, response, rt, beat-time
2, 1, 28, f, 35956.0, 35750.0
2, 1, 29, f, 37213.0, 37050.0
2, 1, 30, f, 38530.0, 38350.0
2, 1, 31, f, 39842.0, 39650.0
2, 1, 32, f, 41110.0, 40950.0
2, 2, 39, f, 116251.0, 116050.0
2, 2, 40, f, 117544.0, 117350.0
2, 2, 41, f, 118847.0, 118650.0
2, 2, 42, f, 120136.0, 119950.0
2, 2, 43, f, 121318.0, 121250.0
2, 3, 7, f, 140623.0, 140450.0
2, 3, 8, f, 141910.0, 141750.0
2, 3, 9, f, 143202.0, 143050.0
2, 3, 10, f, 144431.0, 144350.0
2, 3, 11, f, 145825.0, 145650.0
2, 4, 41, f, 250744.0, 250650.0
2, 4, 42, f, 252132.0, 251950.0
2, 4, 43, f, 253420.0, 253250.0
2, 4, 44, f, 254647.0, 254550.0
2, 4, 45, f, 255877.0, 255850.0
2, 5, 2, f, 266110.0, 265950.0
2, 5, 3, f, 267329.0, 267250.0
2, 5, 4, f, 268712.0, 268550.0
2, 5, 5, f, 269886.0, 269850.0
2, 5, 6, f, 271323.0, 271150.0
2, 6, 7, f, 338624.0, 338450.0
2, 6, 8, f, 339904.0, 339750.0
2, 6, 9, f, 341244.0, 341050.0
2, 6, 10, f, 342527.0, 342350.0
2, 6, 11, f, 343596.0, 343650.0
2, 7, 30, f, 434522.0, 434350.0
2, 7, 31, f, 435840.0, 435650.0
2, 7, 32, f, 437065.0, 436950.0
2, 7, 33, f, 438439.0, 438250.0
2, 7, 34, f, 439647.0, 439550.0
2, 8, 11, f, 475813.0, 475650.0
2, 8, 12, f, 476865.0, 476950.0
2, 8, 13, f, 478444.0, 478250.0
2, 8, 14, f, 479710.0, 479550.0
2, 8, 15, f, 480984.0, 480850.0
2, 9, 19, f, 552230.0, 552050.0
2, 9, 20, f, 553490.0, 553350.0
2, 9, 21, f, 554749.0, 554650.0
2, 9, 22, f, 556005.0, 555950.0
2, 9, 23, f, 557425.0, 557250.0
2, 10, 26, f, 627205.0, 627150.0
2, 10, 27, f, 628611.0, 628450.0
2, 10, 28, f, 629868.0, 629750.0
2, 10, 29, f, 631222.0, 631050.0
2, 10, 30, f, 632433.0, 632350.0
2, 11, 10, f, 672465.0, 672350.0
2, 11, 11, f, 673820.0, 673650.0
2, 11, 12, f, 675129.0, 674950.0
2, 11, 13, f, 676432.0, 676250.0
2, 11, 14, f, 677678.0, 677550.0
2, 12, 7, f, 734464.0, 734450.0
2, 12, 8, f, 735932.0, 735750.0
2, 12, 9, f, 737180.0, 737050.0
2, 12, 10, f, 738533.0, 738350.0
2, 12, 11, f, 739795.0, 739650.0
2, 13, 20, f, 817527.0, 817350.0
2, 13, 21, f, 818723.0, 818650.0
2, 13, 22, f, 820019.0, 819950.0
2, 13, 23, f, 821411.0, 821250.0
2, 13, 24, f, 822759.0, 822550.0
2, 14, 13, f, 874216.0, 874250.0
2, 14, 14, f, 875728.0, 875550.0
2, 14, 15, f, 876933.0, 876850.0
2, 14, 16, f, 878278.0, 878150.0
2, 14, 17, f, 879633.0, 879450.0
2, 15, 31, f, 963816.0, 963650.0
2, 15, 32, f, 965121.0, 964950.0
2, 15, 33, f, 966257.0, 966250.0
2, 15, 34, f, 967605.0, 967550.0
2, 15, 35, f, 969055.0, 968850.0
2, 16, 13, f, 1006426.0, 1006250.0
2, 16, 14, f, 1007719.0, 1007550.0
2, 16, 15, f, 1009012.0, 1008850.0
2, 16, 16, f, 1010357.0, 1010150.0
2, 16, 17, f, 1011648.0, 1011450.0
2, 17, 44, f, 1112712.0, 1112550.0
2, 17, 45, f, 1113946.0, 1113850.0
2, 17, 46, f, 1115183.0, 1115150.0
2, 17, 47, f, 1116529.0, 1116450.0
2, 17, 48, f, 1117863.0, 1117750.0
2, 18, 38, f, 1170876.0, 1170750.0
2, 18, 39, f, 1172217.0, 1172050.0
2, 18, 40, f, 1173450.0, 1173350.0
2, 18, 41, f, 1174841.0, 1174650.0
2, 18, 42, f, 1176133.0, 1175950.0
