participant, trial, beat, response, rt, beat-time
20, 1, 5, f, 5685.0, 5850.0
20, 1, 6, f, 7001.0, 7150.0
20, 1, 7, f, 8483.0, 8450.0
20, 1, 8, f, 9665.0, 9749.999
20, 1, 9, f, 11217.0, 11049.999
20, 2, 16, f, 84959.0, 86150.0
20, 2, 17, f, 86356.0, 87450.0
20, 2, 18, f, 87633.0, 88750.0
20, 2, 19, f, 88705.0, 90050.0
20, 2, 20, f, 89912.0, 91350.0
20, 3, 23, f, 160110.0, 161250.0
20, 3, 24, f, 161291.0, 162550.0
20, 3, 25, f, 162710.0, 163850.0
20, 3, 26, f, 164010.0, 165150.0
20, 3, 27, f, 165310.0, 166450.0
20, 4, 38, f, 245610.0, 246750.0
20, 4, 39, f, 246660.0, 248050.0
20, 4, 40, f, 248083.0, 249350.0
20, 4, 41, f, 249526.0, 250650.0
20, 4, 42, f, 250811.0, 251950.0
20, 5, 28, f, 298534.0, 299750.0
20, 5, 29, f, 299898.0, 301050.0
20, 5, 30, f, 301228.0, 302350.0
20, 5, 31, f, 302444.0, 303650.0
20, 5, 32, f, 303608.0, 304950.0
20, 6, 24, f, 359445.0, 360550.0
20, 6, 25, f, 360458.0, 361850.0
20, 6, 26, f, 361992.0, 363150.0
20, 6, 27, f, 363328.0, 364450.0
20, 6, 28, f, 364662.0, 365750.0
20, 7, 41, f, 447522.0, 448650.0
20, 7, 42, f, 448810.0, 449950.0
20, 7, 43, f, 450110.0, 451250.0
20, 7, 44, f, 451328.0, 452550.0
20, 7, 45, f, 452762.0, 453850.0
20, 8, 45, f, 518557.0, 519849.97
20, 8, 46, f, 520047.0, 521150.03
20, 8, 47, f, 521265.0, 522450.0
20, 8, 48, f, 522642.03, 523750.0
20, 8, 49, f, 523917.0, 525050.0
20, 9, 8, f, 536653.0, 537750.0
20, 9, 9, f, 537926.0, 539050.0
20, 9, 10, f, 538877.0, 540350.0
20, 9, 11, f, 540269.0, 541650.0
20, 9, 12, f, 541548.0, 542950.0
20, 10, 13, f, 609123.0, 610250.0
20, 10, 14, f, 610176.0, 611550.0
20, 10, 15, f, 611602.0, 612850.0
20, 10, 16, f, 613000.0, 614150.0
20, 10, 17, f, 614317.0, 615450.0
20, 11, 9, f, 669916.0, 671050.0
20, 11, 10, f, 671237.0, 672350.0
20, 11, 11, f, 672519.0, 673650.0
20, 11, 12, f, 673679.0, 674950.0
20, 11, 13, f, 675058.0, 676250.0
20, 12, 17, f, 746015.0, 747450.0
20, 12, 18, f, 747317.0, 748750.0
20, 12, 19, f, 748558.0, 750050.0
20, 12, 20, f, 749881.0, 751350.0
20, 12, 21, f, 751291.0, 752650.0
20, 13, 4, f, 795153.0, 796550.0
20, 13, 5, f, 796724.0, 797850.0
20, 13, 6, f, 797888.0, 799150.0
20, 13, 7, f, 799310.0, 800450.0
20, 13, 8, f, 800610.0, 801750.0
20, 14, 44, f, 913293.0, 914550.0
20, 14, 45, f, 914568.0, 915850.0
20, 14, 46, f, 915831.0, 917150.0
20, 14, 47, f, 917187.0, 918450.0
20, 14, 48, f, 918356.0, 919750.0
20, 15, 23, f, 952152.0, 953250.0
20, 15, 24, f, 953410.0, 954550.0
20, 15, 25, f, 954710.0, 955850.0
20, 15, 26, f, 956010.0, 957150.0
20, 15, 27, f, 957310.0, 958450.0
20, 16, 2, f, 990272.0, 991950.0
20, 16, 3, f, 991997.0, 993250.0
20, 16, 4, f, 993417.0, 994550.0
20, 16, 5, f, 994743.0, 995850.0
20, 16, 6, f, 996003.0, 997150.0
20, 17, 22, f, 1082680.0, 1083950.0
20, 17, 23, f, 1084110.0, 1085250.0
20, 17, 24, f, 1085321.0, 1086550.0
20, 17, 25, f, 1086743.0, 1087850.0
20, 17, 26, f, 1088014.0, 1089150.0
20, 18, 18, f, 1143610.0, 1144750.0
20, 18, 19, f, 1144910.0, 1146050.0
20, 18, 20, f, 1146210.0, 1147350.0
20, 18, 21, f, 1147388.0, 1148650.0
20, 18, 22, f, 1148810.0, 1149950.0
