participant, trial, beat, response, rt, beat-time
2, 1, 1, f, 0.36, 0.2
2, 1, 2, f, 0.76, 0.6
2, 1, 3, f, 1.16, 1.0
2, 1, 4, f, 1.56, 1.4000001
2, 1, 5, f, 1.96, 1.8000001
2, 2, 1, f, 0.36, 0.2
2, 2, 2, f, 0.76, 0.6
2, 2, 3, f, 1.16, 1.0
2, 2, 4, f, 1.56, 1.4000001
2, 2, 5, f, 1.96, 1.8000001
2, 3, 1, f, 0.36, 0.2
2, 3, 2, f, 0.76, 0.6
2, 3, 3, f, 1.16, 1.0
2, 3, 4, f, 1.56, 1.4000001
2, 3, 5, f, 1.96, 1.8000001
2, 4, 1, f, 0.36, 0.2
2, 4, 2, f, 0.76, 0.6
2, 4, 3, f, 1.16, 1.0
2, 4, 4, f, 1.56, 1.4000001
2, 4, 5, f, 1.96, 1.8000001
2, 5, 1, f, 0.36, 0.2
2, 5, 2, f, 0.76, 0.6
2, 5, 3, f, 1.16, 1.0
2, 5, 4, f, 1.56, 1.4000001
2, 5, 5, f, 1.96, 1.8000001
2, 6, 1, f, 0.36, 0.2
2, 6, 2, f, 0.76, 0.6
2, 6, 3, f, 1.16, 1.0
2, 6, 4, f, 1.56, 1.4000001
2, 6, 5, f, 1.96, 1.8000001
2, 7, 1, f, 0.36, 0.2
2, 7, 2, f, 0.76, 0.6
2, 7, 3, f, 1.16, 1.0
2, 7, 4, f, 1.56, 1.4000001
2, 7, 5, f, 1.96, 1.8000001
2, 8, 1, f, 0.36, 0.2
2, 8, 2, f, 0.76, 0.6
2, 8, 3, f, 1.16, 1.0
2, 8, 4, f, 1.56, 1.4000001
2, 8, 5, f, 1.96, 1.8000001
2, 9, 1, f, 0.36, 0.2
2, 9, 2, f, 0.76, 0.6
2, 9, 3, f, 1.16, 1.0
2, 9, 4, f, 1.56, 1.4000001
2, 9, 5, f, 1.96, 1.8000001
2, 10, 1, f, 0.36, 0.2
2, 10, 2, f, 0.76, 0.6
2, 10, 3, f, 1.16, 1.0
2, 10, 4, f, 1.56, 1.4000001
2, 10, 5, f, 1.96, 1.8000001
